"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"1" 1 -6.10050610288665e-25 0 0 0 0 0 0 0 1.11835729315878e-21 0 0 0 -1.65395370823029e-21 0 -3.57950207842777e-21 0 0 0 0 -6.10050610283801e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.19145427709515e-21 0 0 0 0 0 0 0 0 1.26901658675963e-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.17200954197213e-21 0 0 0 0
"2" -6.10050610288665e-25 1 0 0 0 -6.10050610274217e-25 0 0 0 0 0 0 0 -1.06224831539324e-21 0 0 0 0 0 -2.55693183048834e-22 0 0 0 0 -6.10050610285892e-25 0 0 0 0 -6.72814906311367e-25 0 0 0 0 -2.58774533969851e-21 0 0 -1.34720895691536e-21 0 0 2.10540420343922e-21 0 0 0 0 0 0 0 0 -1.61517287175291e-22 1.3090770109243e-21 0 0 0 0 0 0 0 0 0 1.22105913922455e-21 0 6.04548567702867e-22 -1.71297987039676e-21 0 0 0 0 0 5.31858140672246e-23 0 0 0 0 4.56103802574519e-21 0 0 0 0 0 0 0 0 1.46757704830088e-21 0 0 0 1.78184732491781e-21 -2.9900745200739e-21 0 0 0 -5.98566401242429e-21 0 0 0 0 0 0 0
"3" 0 0 1 1.04543027139167e-21 4.14213392237327e-21 0 0 -3.90063109638056e-22 0 0 0 0 0 0 0 0 0 1.37648594043714e-21 0 0 0 0 -1.17288129040865e-22 0 0 1.16711048817365e-21 1.23833732240068e-21 -2.75251609168348e-23 0 0 0 -6.72814906325564e-25 0 0 -9.45142233641836e-22 0 1.01548494468324e-21 0 0 0 0 0 -5.56935552162541e-23 -2.72657486369455e-21 0 0 0 0 0 0 1.32928486521125e-21 0 0 0 -2.42549722867681e-21 0 -3.47476904803062e-21 0 0 0 0 0 0 -6.84140097452699e-22 0 0 0 -1.14478465788411e-22 1.82608724457386e-21 0 -4.06872567809298e-21 -6.95889224542357e-24 2.51507218228578e-22 0 3.83511943894695e-21 9.85949035388844e-22 0 3.46052539563215e-21 0 1.7125105639633e-21 1.39469587179473e-21 0 0 0 0 0 0 0 0 0 0 0 0 -2.86452753142242e-21 2.67952609286075e-21 0 0 0 0 0
"4" 0 0 1.04543027139167e-21 1 0 0 -0.0048621900887752 0.0136958698783045 0 0 0 0 0 0 0 0 0 -0.0106396231286727 1.16621276657832e-21 0 0 0 -0.0130674327939353 -0.00387539600403523 0 0 0 -0.00849832627339312 0.00595011725407571 0 0 2.92984460795163e-22 0 0 0 0 -0.00870831010021229 0 0 0 0 0.0205856979183914 -0.0148423439611382 0.036072552969243 0 0 0 -0.0452501071767161 0.017062262062986 0 -0.0152826034918256 0 -0.0278069152167378 0.0167539916167551 0.0799709553748612 0 0.0904206160618718 0.116441477594816 0.441338927942774 0 0 0 0 0.260262843260027 0.0336678117059336 0.000665286352121094 0 0.0571657462653857 0.0852225153412174 0 0.224105979917148 0 0.272892390789409 0.133322694529629 0 0.103592524318235 0 0.0522310546731147 0 0.00926178580164237 0.40100159954862 0.11251193346543 -0.0103418543411288 0 0 0 0 0 0 0 0 0 0 0 0.0709213584833612 0 0 0 0 0
"5" 0 0 4.14213392237327e-21 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.00924248733742e-21 0 0 0 0 0.00706349320981194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.261809641404534 0 0 0 0 0 0.061308021317608 0 0 -0.0141261850770772 0 0.122289509639642 0 0 0 0 0 0 0 0.394266100046454 0 0 0 0 0 0 0 0 0 0.287599236012946 0 0.0923292300236356 0 0 0 0 0
"6" 0 -6.10050610274217e-25 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.49713589952636e-21 0 0 0 0 0 0 0 0 -1.52722260579669e-22 0 0 0 0 0 0 0 0 0 0 0 0 6.90195472774446e-22 0 0 0 0 0 0 0 0 0 0 0 0 0 -6.10050610259867e-25 0 0 0 0 0 0 1.73796285880518e-21 0 0 0 3.16739278156524e-21 -4.52127354798135e-21 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 -0.0048621900887752 0 0 1 0.640582904043623 0 0 0 0 0 0 0 0 0 -0.00325793687767029 1.41026488239563e-22 0 0 0 0.00207077291058967 -4.54337993258142e-05 0 0 0 -0.000965768983568857 -0.00235396140055917 0 0 6.3594422998219e-23 0 0 0 0 -5.902349833152e-05 0 0 0 0 -0.000303986875308189 0.00146754817463481 0.00193830481334088 0 0 0 0.00918527114241142 -0.0038303277599945 0 0 0 -0.00123128238998087 -0.00265630819123603 0.00167049923850669 -0.0041626522993368 0 0.00526324726873315 0 0 0 0 0 -0.000870716987120385 0.000971642635123641 0 0 -0.0192726550433041 0.000117796108612291 0 -0.000554528982272608 0 0.00237091597068109 -0.00317985569698096 0 -0.00432887843333194 0 -0.00234280547216644 0 0.00898617657951785 0.00929634151411545 0 -0.00745227592625935 0 0 0 0 0 0 0 0 0 0 0 -0.000852719425284796 0 0 0 0 0
"8" 0 0 -3.90063109638056e-22 0.0136958698783045 0 0 0.640582904043623 1 0.515056697236038 0 0 0 0 0 0 0 0 0.00155174686364085 -2.76143069341223e-22 0 0 0 0.000170092005244239 -0.0022098109952878 0 0.00334104817192774 0 0.00162753709579297 0.00369063503340671 0 0 -1.55549617037728e-22 0 0 -0.00336925145842534 0.00129701811169921 -0.000899027975873217 0 0 0 0 -0.00209682483600604 -0.00254959660458011 -0.000541748734916468 -0.00493559905833952 -0.00310075950605465 0 -0.0277109848975377 0.00756447635696122 0 0.00184269755405309 0 0.0022025344778006 0.0172373546211866 -0.00195388657376106 0 -0.00729794327056101 -0.0111207288448543 -0.00952679667468807 0 0 -0.0253252728346082 0 -0.00239109175740142 0 0.00317994931385743 0 0.0594897577828285 0.00758332007570001 0 -0.00292218343815448 0.00111760207582596 -0.00581395183750633 0.018895546525872 0 0.00653828065809697 0 -0.0104871119380471 0 -0.0301444802144098 -0.021220817917755 -0.000440950894428029 0.0334217156663196 0 0 0 0 0 0 0 0 0 0.00910207986939046 0.018210775214962 0.00516572957716006 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0.515056697236038 1 0 0 0.598981929265394 0 0 0.00637614506564828 0 0 0 0 0 0 0 0 0.0141030454515563 0 0.000556095597114707 0 -0.000754148884305451 0 0 0 0 0 0 0 0.000545831600358599 0 0 0 2.93913912554925e-21 0 0 -0.00226469329518617 0 0 0 0.00113086361393848 0 0 0 0.00230286253757489 0 0 0 0 0 -0.0133399136376966 0 0.0359801220977009 0 0 0 0 0 0 0 0 0.209927559274199 -0.0444867137140229 0 0 0 0 0 0 0 0 0 0 0 0 0.0213575607179676 0 0 0 0 0 0 0 0 0 0 0 0.431937731569187 0 0 0 0 0 0
"10" 1.11835729315878e-21 0 0 0 0 0 0 0 0 1 0.669307241001244 0 0.0461890542960633 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0173526275244002 0 0 0 0 0 0 1.47268191053515e-22 0 0 0 0 0 -0.0077666872491571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0112688735099994 0 0 0 0 0.0577899313187188 0 0 0 0 -0.0445726261253415 0 0 0 0 0 0 0 0 0 -0.0244750169406443 0 0.00156116356784388 0 0 0 0 0
