"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67"
"1" 1 0 0 0 -2.15350719974279e-22 0 0 0 0 0 3.94419985840438e-22 0 0 0 -2.15350719972847e-22 0 0 0 0 0 0 0 -5.92418979389228e-22 0 0 -4.52120616864321e-22 0 0 -4.8093975172753e-22 0 0 0 0 0 0 -3.33046736035405e-22 1.69500880907026e-21 0 0 0 0 0 -1.99231964071305e-23 2.43982059897119e-21 0 0 0 2.30189482714535e-22 0 0 -5.00533772142454e-22 0 0 0 0 0 1.43946804512569e-22 0 0 -6.93197039159281e-22 -4.31447436864915e-22 0 0 -1.01145059666234e-21 0 0 0
"2" 0 1 -5.85748736106355e-21 0.727873220962938 0 -4.33151287596341e-23 0 0 0 0 0 0 5.45338529396022e-21 0 0 0 0 5.57010222954889e-21 0 -8.79374327106235e-21 -8.45908020415775e-21 0 0 0 1.07223834884179e-20 1.17103528619662e-20 3.40311020470387e-21 0 0 0 -1.57168548682131e-20 1.37891586446392e-20 0 0 0 0 -9.52874468615601e-21 0 0 3.4382354036477e-21 0 0 0 8.03798440077562e-21 0 0 1.76694219081863e-22 0 -1.00504814921811e-20 0 1.10214327526882e-21 -5.56948956056686e-21 0 -4.90874024760625e-21 2.02776527992827e-20 0 0 0 0 0 0 0 0 0 -2.21652810180697e-21 0 0
"3" 0 -5.85748736106355e-21 1 0 0 -0.0346285323541503 0 0 0 0 0 0 -0.00201855220901026 0.00606627004048696 0 0 0 0.00299335465001689 -0.00113138948382755 0 -0.00232809201109974 -4.58959961259273e-21 0 0 0.0204658597767995 0 -0.0233729261662466 0 0 0.00345053415249047 0.0199388075209913 -0.00394857033730422 0 -0.00575853508018762 -0.00559137137201715 0 -0.024713996716415 -0.00315335506158183 0.0692435307485485 0.0189305456315544 0.0207647459910999 0 0 -0.0544062381491438 0.00364791426245812 0 -0.0208155314454072 0 0.000824483934567048 0.652766720197552 0 0.00838982592419237 0 0.000477361010968106 0.448064889795298 0.033830730321561 0 0 0 0 0 0 0 0 0 0 0
"4" 0 0.727873220962938 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.46711384872946e-21 0 -5.07986608393769e-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.30337441790859e-21 0 0 0 7.07441624827493e-21 5.24985839705365e-21 0 8.57349161155571e-21 0 0 0 0 3.37750232045496e-21 0 0 0 0 0 0 0 7.7773954793468e-21 0 0 0
"5" -2.15350719974279e-22 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.80866926406263e-21 0 0 0 0 0 0 3.56577589121902e-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.02272710464959e-21 0 0 1.8231382025886e-21 4.32100490560365e-21 0 0 0 0 0 0
"6" 0 -4.33151287596341e-23 -0.0346285323541503 0 0 1 0.508985824869945 0 0 0 0 0 -0.0232729621273161 0.0115956095388989 0 0 0 -0.000520862612785115 -0.00690830302579895 -0.00188072307825276 0.0239440529274161 3.22646005842114e-21 0 0 -0.0242232853431442 0.0302827588969526 -0.00218637458810912 0 0 -0.0376317685092932 0.00135459851816671 -0.0583938295995849 0.0242886127728306 0.0159550175979009 0.0803484331517132 0 0.0338565244064726 0.540144337511718 0.359500404362471 0.429611140687667 0.402771839686617 0 0 0.0990100365007996 0 0 0.122456621017844 0 0.058307335108767 0.00900532743510865 0 -0.0423151499084948 0 0.076385773472514 0.106333889755192 -0.0352474815417103 0 0 0 0 0 0 0 -0.00770734008675238 -0.0782789408560875 0 0
"7" 0 0 0 0 0 0.508985824869945 1 0 0 0 0 0 0 0 0 0 0 0 0.00727597650321433 0.000652101209904728 -0.00936460124538985 0 0 0 0 0 0 8.38829395810078e-22 0 0 -0.000378322538132438 0 0 0 0 0 -0.00920315833533528 0 0 0 0 0 0 0 0 0 -0.0393445104875098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0258427721461494 0 0
"8" 0 0 0 0 0 0 0 1 0.607425436279182 6.9612875069284e-23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00690730694863497 0 0 0 0 0 0 0 0.0288401791841125 0 0 0 0 0 0 0 0.00159518461603984 0 0 -0.0102458092895574 0 0 0 0.0660160046629872 0 0 0 0 0 0 0 0.391320892644971 0 0 0
"9" 0 0 0 0 0 0 0 0.607425436279182 1 -1.6021235713283e-21 0 0.555675040555973 0 0.0247539946768656 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0670590768975521 0 0 0 0 0 0 0 0.0718882716748304 0 0 0 0 0 0 0 0.029428121366633 0 0 -0.0149377612445057 0 0 0.0116053857376138 0.361403845979327 0 0 0 0 0 0 0 0.354698920752763 0 0 0
"10" 0 0 0 0 0 0 0 6.9612875069284e-23 -1.6021235713283e-21 1 0 -3.86964867639536e-22 0 -4.95243607498805e-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22957497418101e-21 0 0 0 0 0 8.01883026869037e-22 0 0 0 0 0 0 0 0 0 1.90709306610841e-21 1.49125878382132e-21 0 3.22349023326423e-21 0 0 0 1.27053231467135e-21 0 0 0 0 0 0 0 6.43640782345301e-22 0 0 0
