"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"1" 1 1.62201030538202e-24 1.62201030551981e-24 0 0 0 0 0 1.62201030537459e-24 0 2.67230375513326e-24 3.3071565679156e-24 2.32994337559297e-24 0 0 3.23520313682937e-24 0 0 4.19323028165985e-24 0 0 0 0 0 1.96114149053081e-24 0 0 0 0 1.98299151816325e-24 0 0 0 0 0 0 0 2.97142858117985e-24 0 0 0 0 0 0 0 0 0 0 5.71895050851367e-24 4.26196348697909e-24 2.63408615097527e-24 0 3.83661203510681e-24 0 2.33104650488842e-24 0 3.40053530934141e-24 5.73490313106811e-24 0 2.76942718495497e-24 1.91704928216707e-24 0 3.34329988931553e-24 0 0 0 3.32054748033411e-24 0 0 0 2.1589361357562e-24 0 0 4.02828583966185e-24 0 0 5.44960284779286e-24 0 0 5.1430677247837e-24 3.35124504374696e-24 0 3.42257273815605e-24 5.02239382073303e-24 0 4.86023207031252e-24 0 0 0 0 0 0 1.97902635275258e-24 6.5366616087135e-24 3.68824795387073e-24 3.18705594518781e-24 4.39683537836802e-24 3.47377421171558e-24 4.14236814306338e-24 2.79505571520449e-24
"2" 1.62201030538202e-24 1 1.62201030550279e-24 0 1.58080931380318e-24 2.05470414917016e-24 0 1.0070337579595e-24 1.62201030535754e-24 0 3.11108847967157e-24 2.59652464676181e-25 1.28376915983024e-24 0 0 0 0 0 -6.12051050704673e-23 0 2.68925293290609e-22 0 0 1.44909988069439e-24 1.19291692927786e-24 0 2.69671956685784e-24 0 -1.68019812175049e-24 3.8955945992804e-24 9.18899318138915e-24 0 0 0 0 0 -5.00469786938532e-24 1.53692862480819e-23 1.2462357250844e-23 0 0 -1.25273750133421e-22 0 0 -3.52409717392721e-25 0 0 1.475558263189e-24 3.86112974578654e-24 -2.50217781649254e-25 -1.79781061952306e-24 0 1.31121373873123e-24 0 2.72696746348473e-23 0 0 9.32470055855477e-24 0 2.49783257176526e-24 0 0 0 0 0 8.86305768269513e-24 1.16163269392677e-23 0 0 0 0 0 0 3.95138788978766e-23 0 0 -7.07376590907208e-24 0 1.02942686001316e-23 2.00869993305989e-23 -4.06872353195632e-24 0 1.64871363627784e-23 9.09233216337098e-24 0 5.0051048529318e-24 0 0 0 0 1.13885142205818e-23 0 1.73801075795403e-23 -1.06240405452956e-23 2.50514454053402e-23 0 -1.00072596995538e-23 8.21311216578377e-24 0 0
"3" 1.62201030551981e-24 1.62201030550279e-24 1 0 0 1.98309638105288e-24 0 4.78998428409244e-25 1.62201030549249e-24 0 3.77725801403423e-24 -1.69351659996348e-24 3.52480547021605e-25 0 -3.41907836021623e-24 0 0 0 -1.26781336837533e-22 3.38919037673125e-22 5.4589357977571e-22 0 0 1.21031012309333e-24 4.86326337977617e-25 1.55245935801546e-24 2.46449032373225e-24 0 -7.39735911658477e-24 5.51118712341666e-24 1.34869443695287e-23 7.77328495499701e-24 0 -3.59907298909771e-24 1.27812104463905e-23 0 -1.44375720370981e-23 2.76417478093276e-23 2.18359042513513e-23 0 -5.48371529362086e-22 -2.57860961778223e-22 0 0 -3.4182406204711e-24 0 -3.27064320460173e-24 -2.72302138147706e-25 -1.64738658960713e-25 -3.39073777874761e-24 -7.0912153383389e-24 1.42947732035694e-23 -1.95162149141059e-24 3.39515724755843e-23 5.25637944742248e-23 0 5.92663673363663e-24 1.50584582036772e-23 0 2.17726206242966e-24 -3.28701269652436e-24 0 -1.34585300247579e-23 0 0 1.56559674672806e-23 0 6.01502072045895e-24 4.97494651185229e-24 -1.50758690549914e-24 0 0 0 7.66018728832368e-23 0 1.66303042754731e-23 -2.04435409393928e-23 0 1.74288725915804e-23 3.45841745399212e-23 -1.29899051302534e-23 0 2.96169175416312e-23 1.38425218560775e-23 0 5.34947836791508e-24 0 2.44185249545245e-23 0 0 1.96085213586681e-23 0 3.36994114958829e-23 -2.53299098286788e-23 4.55805041069091e-23 0 -2.42462164487607e-23 1.40346763749722e-23 0 0
"4" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -7.12313111502361e-08 0 0 -1.96721075169342e-06 0 0 6.47926691880384e-06 0 0 0 0 0 0 0 -1.33369633440878e-07 0 0 5.3974294455379e-08 0 -9.29156515073692e-08 1.1610424370377e-07 5.0435759284588e-07 -2.42751819306531e-07 0 0 0 -6.60546688374381e-06 0 -1.54188525201291e-06 0 0 0 -7.83540908903272e-08 -3.9331750888968e-08 0 0 0 0 0 3.56458367710997e-07 5.92516964907429e-07 0 3.38621656423485e-08 0.171434001443842 0 0 0.168481894128217 0 0 0 0 0 0 0 0.0109400972763392 -4.10504704694421e-08 0 0 0 0 0 0 0 0 1.60099768892446e-07 0 0 0 0 9.07517985147808e-08 -0.120755101040417 -3.27758755242502e-09 0 2.40015877030449e-07 0 0 1.88223081834265e-07 0 0 0 0 0 0 0 0 0
"5" 0 1.58080931380318e-24 0 0 1 -0.0131481521664677 0 5.53093318104685e-10 0 0 -1.99943968873222e-10 0 6.60302244453414e-10 0 2.4623347190654e-09 0 -3.21455911554037e-09 6.79694292710501e-08 5.3012705999037e-08 0 -2.23876704198822e-07 0 0 0 0 0 0 4.38776117494832e-09 4.61750239956454e-09 0 0 -1.86457089491174e-09 -1.61806484134356e-09 0 0 -1.74358692811502e-08 8.38241900791017e-09 0 0 0 0 1.07293363532378e-07 5.32758901401449e-08 1.29109100763305e-08 0 0 2.70799043067465e-09 1.35604683023037e-09 0 3.45627573035824e-09 4.1664521987041e-09 0 0 -1.23305672268882e-08 -2.04453669391039e-08 0 0 -3.40138318496716e-09 6.49056748640087e-10 6.28321371805592e-10 2.02771662203694e-09 0 0 2.1095743911195e-09 0 -5.34412160388414e-09 -6.54106215235106e-09 0 -6.18944614222825e-10 1.44367818613456e-09 0 0 0 -2.95624060099031e-08 0 0 0 0 -5.52586755607385e-09 -1.20022152246055e-08 0 2.17016072996125e-08 0 0 0 0 0 0 0 0 -6.48998487298974e-09 0 -1.30819870931949e-08 0 0 0 0 0 0 0
"6" 0 2.05470414917016e-24 1.98309638105288e-24 0 -0.0131481521664677 1 0 5.42038395569834e-08 1.74265605276206e-24 0 0.207750362848954 1.86511686108319e-07 6.47143330014043e-08 0 2.4130249888077e-07 4.41950699037106e-07 -3.14998399828563e-07 0 5.19525769963519e-06 0 -2.19399346789382e-05 0 0 1.81919226182658e-08 0 0 7.8330322995249e-09 0 4.5256374595435e-07 -1.38743230999399e-07 0 -1.82756463217007e-07 -1.58607329226494e-07 3.14062107948664e-07 0 -1.70875004849373e-06 8.21550867553084e-07 -9.52778688963936e-07 0 0 2.2367621713542e-05 1.05147601555322e-05 0 0 2.63860927360508e-07 0 2.65370625820697e-07 1.32875646301792e-07 2.56916578501436e-07 3.38717931930887e-07 4.0827247018676e-07 0 2.18419539069227e-07 -1.20842225518632e-06 -0.000290682250646808 0 0 -3.33266471606148e-07 0 6.15733953289476e-08 1.98925581273783e-07 0 0 0 0 -5.2375763331153e-07 -6.41071496062403e-07 2.91285021927739e-08 -6.06689650328242e-08 1.41700269318966e-07 0 0 0 -2.8971280041207e-06 0 0 1.04741594847157e-06 0 -5.41474408709553e-07 -1.1761653828159e-06 6.92206921050235e-07 0 -1.03334683592534e-06 0 0 1.23797021152281e-08 0 0 0 0 -6.35989907635965e-07 0 -1.28204592817392e-06 1.27464939953545e-06 -1.6293977408671e-06 0 1.12350142347983e-06 -4.49273527791517e-07 0 5.98526853550419e-07
"7" 0 0 0 0 0 0 1 0 0 0 0 5.45141474699679e-25 0 0 0 0 0 0 0 1.27689424787187e-22 0 0 0 0 1.38060686811579e-24 0 2.19956378369528e-24 -1.00251629310393e-24 0 2.92791308037832e-24 7.86887402941365e-24 0 0 0 0 0 0 1.17792192216327e-23 9.66886719987921e-24 0 -2.02047577060398e-22 0 0 0 0 0 0 0 0 -9.86284784761743e-27 0 0 0 0 0 0 0 0 1.54934072284861e-24 0 0 0 0 1.31402557916891e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.62201030557209e-24 1.81088115473625e-24 0 0 0 0 0 0 0 0 0 0
"8" 0 1.0070337579595e-24 4.78998428409244e-25 0 5.53093318104685e-10 5.42038395569834e-08 0 1 0 0 -4.38318389140346e-07 0 0 0 4.58306499473201e-06 0 -5.98172354581687e-06 0.000126521884890192 9.8682110204911e-05 0 -0.0004167387034207 0 0 0 0 0 1.48370599637354e-07 0 8.59844670248533e-06 -2.63631144062547e-06 0 -3.47279946408802e-06 -3.01448135510767e-06 0 -7.4398314425277e-06 -3.2458482777153e-05 1.56086873216207e-05 0 0 0 0 0 9.91712980668274e-05 0 0 0 5.03990613736711e-06 2.52289612710382e-06 0 6.43432824059205e-06 0 -8.46130469117009e-06 0 -2.29550880073202e-05 -3.8058146351403e-05 0 0 -0.0220084198856538 1.21415250735439e-06 1.1693797486314e-06 3.78789830769376e-06 0 0 3.93042181738778e-06 0 -9.95003171036447e-06 0 5.45074241049079e-07 -1.15317731386332e-06 2.70133922886668e-06 0 0 0 -5.50300714964628e-05 0 0.0853598033715966 -0.0294375908111664 0 -1.02814341132789e-05 -2.23377505643847e-05 0 4.03970693982259e-05 -1.96304413330768e-05 0 0 2.3563110380624e-07 0 0 0 0 -1.20791819525189e-05 0 -2.43525334928902e-05 2.42105705801417e-05 -3.09496921084036e-05 5.2739016536877e-06 2.13418051749572e-05 -0.00792693432674359 1.43686694270193e-05 1.13685835050216e-05
"9" 1.62201030537459e-24 1.62201030535754e-24 1.62201030549249e-24 0 0 1.74265605276206e-24 0 0 1 0 0 9.24405249862814e-25 1.38482971806638e-24 0 0 -2.70400091820729e-24 0 0 0 1.60090289175814e-22 0 0 0 1.45157748798325e-24 1.2473381784888e-24 0 2.34195245114771e-24 -2.14250425314844e-24 0 3.27585491186959e-24 9.02701150944301e-24 0 0 0 0 0 0 1.49175030440299e-23 1.26070734938581e-23 0 -2.55554402108195e-22 0 0 0 6.05243017355731e-25 0 0 0 1.93789135046697e-24 4.50941370744079e-25 -2.21401172005623e-24 0 1.63969882301825e-24 0 2.58489165735175e-23 2.36307007649241e-24 4.84606356155154e-24 8.27621116241621e-24 0 1.54654346927724e-24 0 1.80205130190584e-25 -4.170665422893e-24 0 0 0 0 0 0 0 0 1.55549585880484e-24 0 3.80052624261313e-23 8.0679216526854e-24 0 -7.64293847067076e-24 0 0 0 -4.23077384913502e-24 0 1.53684414374178e-23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
