"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200"
"1" 1 0 0 0 0 0 -7.59904734286808e-24 0 0 -7.62891085396031e-24 0 0 0 0 -8.04215027067081e-24 -7.55619895452173e-24 -7.8061033867281e-24 0 0 -7.53283276604004e-24 -7.68789541183136e-24 -7.82386323631464e-24 0 0 1.38907897594838e-23 0 0 0 0 2.88654330630762e-23 -8.21745419310205e-24 0 0 -7.45271402327136e-24 -7.64671504468392e-24 -7.7597639673263e-24 -7.66604106600827e-24 -7.55327937005892e-24 0 -7.55560480566082e-24 -7.48111936585186e-24 0 0 0 0 0 0 0 -7.59725800443695e-24 0 0 0 0 0 0 -7.45070023339396e-24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7.4170932596325e-24 0 0 0 0 0 0 0 0 0 0 -7.73378389413607e-24 0 0 0 0 -7.38967252175707e-24 0 -8.31989554921611e-24 -8.27052601900724e-24 0 0 -8.47453923358585e-24 0 0 0 0 -6.6626641027395e-24 0 0 -8.36513905988941e-24 -7.97746392818304e-24 -8.2100117540871e-24 0 0 -7.32218344354231e-24 0 0 0 0 0 0 0 0 0 -7.541706745657e-24 -8.32253211576419e-24 0 0 0 0 0 0 0 -8.30484435611479e-24 0 0 0 -7.68390819567567e-24 0 0 0 0 0 0 0 0 0 0 0 0 0 -6.83404344083931e-24 0 0 -6.23013572049947e-24 0 -6.91577596725629e-24 -7.11474944099909e-24 -7.51205426667574e-24 0 0 -1.07459805393866e-23 -7.0307048526314e-24 0 0 0 -7.94260867673361e-24 -7.75894517692959e-24 -7.75750339618608e-24 0 0 0 0 0 0 0 0 0 0 0 -8.17112876128009e-24 0 0 0 0 -7.59725800463208e-24 0 -6.96288121891905e-24 -7.72730837204871e-24 -7.82340527829857e-24 0 -7.10755477926937e-24 -8.25640194491848e-24 -8.75644136191155e-24 -4.13668332812019e-24 -7.42539768143834e-24 -7.73591746598326e-24 -8.37969920742781e-24 -9.35130458384515e-24 -8.09072754701198e-24 -7.59725800466678e-24
"2" 0 1 4.41689480066406e-08 0 1.75946210083641e-06 0 0 0 0 0 0 0 0 0 0 0 -2.77851874704555e-06 0 0 0 0 0 0 0 0 0.000279667481174341 0 0 0 0 0 -7.42017890577313e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.8195837866759e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5212304689889e-06 0.106934361417851 0 0 0 0 0 0 -4.57863018844132e-06 0 0 0 0 0 0 0 0 7.38627519428967e-07 0 0 0 0 -2.35788129834393e-06 0 0 0 0 0 -2.06850944018759e-05 0 0 0 0 0 0 0 0 0 0 0 0 1.12166389614595e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0162220802789332 0 0 0 0 0 0 0 0 0 0 0 0.0589628298583211 0 0 0 0 1.36495088922455e-06 4.47692820572715e-06 0 0 0 0 0.0573484616056191 0 0 0 0 0 0.0226307754262817 0 0 0 0 0 0 -2.27404638240785e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 4.41689480066406e-08 1 0 2.91683354080138e-08 7.91574962506066e-09 0 0 0 0 0 0 0 0 0 0 -4.6063596095094e-08 0 0 0 0 -1.97150310063265e-08 -3.84922185008814e-07 0 0 4.63649578767768e-06 0 0 0 0 -1.47326666662744e-07 -1.23015461852454e-07 0 0 0 0 0 0 -7.59481561166343e-24 0 2.24608262592787e-09 0 0 0 0 0 0 0 0 0 1.2088905410651e-10 0 0 0 0 1.37415803216209e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.75030860608663e-08 0 1.79182116948622e-06 4.18000225327788e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.22431752805068e-08 0 0 1.18725873637446e-07 0 -3.90896847982876e-08 -5.91915262681125e-08 0 0 0 0 -3.42927403093874e-07 0 -1.30053411445873e-08 0 2.04424230967053e-07 0 -1.66120369096299e-08 0 0 -7.68939715386772e-08 0 0 1.72882307658593e-07 1.85949171801134e-07 0 0 0 3.4347885644115e-08 0 0 0 0 0 0 9.14520462807333e-09 0 0 -3.65903604389473e-08 0 0 0 -1.20434960123525e-07 0 0 0 0 0 0 0 -4.87329628480523e-09 0 0 0 0 0 0 0 0 0 2.15204309335584e-07 -1.11542502322523e-07 0 0 0 0 0 2.26292277854331e-08 7.42207760037665e-08 0 0 2.49389116062806e-07 0 3.54599699794557e-08 -1.02482865493789e-08 0 0 2.55699296881685e-08 0 -3.56197864560009e-07 0 0 0 0 0 0 0.0201487166577003 0 0 -8.47191049583366e-09 5.79598220680255e-07 0 0 0 0 0 0 0 0 0 0 -1.57127834605873e-09 -2.8201293025468e-08 9.25917890163375e-07 0 -2.77339607599234e-08 -1.50949341781092e-08 -2.69706625681637e-07 -1.84410586619361e-08 0
"4" 0 0 0 1 2.92514784044888e-07 7.93747074000866e-08 0 0 0 0 0 7.01080642773714e-07 4.21490876592417e-09 0 0 0 -4.61939560999043e-07 0 2.36750893412619e-07 -1.10580294647673e-08 4.75933054133806e-08 0 -3.86007698026501e-06 0 0 0 0 -5.28575540303143e-06 0 8.45269621957795e-05 0 -1.23363283595701e-06 -8.59687800646055e-05 0 -3.51590896154546e-08 0 0 0 -7.52056834494633e-24 0 0 1.52853063213382e-07 0 -1.33817162990678e-07 -7.61086359594824e-24 0 0 0 0 -9.17740196499342e-08 0 0 8.22078300514075e-08 0 -3.41511327827188e-08 1.37816254855575e-07 2.46508038800609e-09 -1.11457686056132e-07 1.63255589227187e-07 0 -7.69923487832282e-24 0 0 0 0 0 0 0 0 8.16930086599036e-07 4.7633974498049e-07 0 1.79687404579907e-05 0 -8.61488638404214e-07 0 0 0 0 0 0 -7.61206961970856e-07 0 0 1.55488388180084e-06 0 0 -6.24180602001544e-07 0 -7.73211900898394e-07 1.2282370058329e-07 0 0 1.19062651610156e-06 0 -3.92014176077894e-07 0 0 7.07896520114933e-07 -1.22872077863467e-06 -4.33003179467926e-06 0 0 0 0 2.05024970460703e-06 0 0 0 0 -7.71173768549371e-07 0 0 0 0 0 0 0 0 0 7.2558130847033e-09 -4.33436985138687e-07 0 1.66761001909538e-06 0 0 0 2.20807819703412e-07 0 0 0 0 -1.20780150079262e-06 -4.23053071373575e-07 8.68525337266727e-07 2.72007272512321e-06 0 0 0 0 -4.88591766599124e-08 -4.98145483545904e-07 0 0 0 0 -3.71346374060241e-06 0.110641791731131 0 2.08219647977573e-06 2.15812661625061e-06 -1.11856725735644e-06 -5.13831186984074e-06 0 -6.70805598152671e-08 0 0 2.2692264703613e-07 0 0 -6.76739454956086e-06 2.5009873627303e-06 0 3.5560547749975e-07 0.0026096894573295 0 0 0 0 0 0 0 0 0 1.12358375845413e-06 7.41671165278937e-07 0.00670717649853953 0 0 0 0 0 -5.5316689447104e-06 0 0 0 1.45668108321934e-06 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0 1.75946210083641e-06 2.91683354080138e-08 2.92514784044888e-07 1 0.0815280041261758 0 0 0 0 -4.62551554676437e-07 0 1.67423779138631e-08 0 0 0 -1.83493375199722e-06 0 0 -4.39262272809862e-08 1.89036370215975e-07 0 -1.53331851037299e-05 0 0 0.000184692420135324 0 -2.09962991029088e-05 0 0 0 0 -0.000341489478446213 0 0 0 0 0 -7.70462224452137e-24 0 0 0 0 -5.31552816925582e-07 -7.85406661264685e-24 0 0 0 0 0 0 0 3.26519068214912e-07 0 0 0 9.79820327382384e-09 0 0 0 0 0 0 0 0 0 0 0 0 3.24498633131522e-06 1.89215632183729e-06 0 0 1.66501954033721e-06 -3.42201604864486e-06 0 0 0 0 0 0 0 0 0 6.17631270393619e-06 0 0 -2.47936864571665e-06 0 -3.07142338492461e-06 4.87786679476124e-07 0 0 4.72943322046574e-06 0 -1.55714777543797e-06 -2.35790071681493e-06 0 2.81185254885938e-06 0 0 0 0 0 0 8.14365321711639e-06 0 -6.61781481960261e-07 0 0 -3.06315656436881e-06 0 0 0 0 0 0 0 0 0 0 -1.7216975155686e-06 2.82983042083104e-06 0 0 0 0 0 0 0 0 0 -4.79756567750797e-06 -1.68042437111959e-06 0 0 0 0 0 0 -1.94099135397752e-07 -1.9784667112071e-06 0 0 0 0 0.0226437435183765 0.0504135178493243 -1.15866920198396e-06 8.27088483734043e-06 8.57259632232127e-06 -4.44323148371023e-06 -2.04105380736533e-05 0 0 0 0 0.0617825499031154 0 0 -2.68814979085688e-05 0 0 0.0808412542935119 0 0 0 0 0 0.0617318316718444 0 0 0 0 4.46308749670493e-06 0 0.10330865640163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.035720537367933 0 3.68837047829788e-05 0 0 0 0 0 0
"6" 0 0 7.91574962506066e-09 7.93747074000866e-08 0.0815280041261758 1 0 0 0 2.90628903822009e-07 0 0 4.54316680115116e-09 0 0 0 -4.97930374260878e-07 0 2.55196033222094e-07 0 5.13077285304365e-08 0 -4.16082098944324e-06 0 5.37877457527122e-05 5.0118222497321e-05 -7.91234557201793e-05 0 0 0 0 0 -9.2666746344003e-05 -6.25861234908628e-08 -3.78981736614121e-08 0 0 0 -7.75626237044884e-24 0 0 1.64760888305664e-07 0 -1.44242720311709e-07 -7.88760036519536e-24 0 0 0 0 -9.89246260489299e-08 1.30676720836896e-09 -1.2483187922709e-10 8.86089542630168e-08 0 -3.68123912117382e-08 0 2.65796294305017e-09 0 1.75975232294314e-07 0 -7.59989477517576e-24 0 -9.1412858552709e-08 0 -7.01673952257312e-24 0 0 0 0 8.80548166060677e-07 5.13443655001048e-07 0 1.93687140170998e-05 0 0 0 0 0 0 0 0 0.229384839768415 0 0 0 0 2.82625760921606e-07 0.0262967703172518 0 0 0.112815154426477 0 0.0299178166706156 1.28338300386167e-06 5.06496637003931e-07 -4.22545233111215e-07 0 0 7.63046476448376e-07 -1.32446964175111e-06 -4.66738600087394e-06 -3.70691186173489e-06 0 -1.40549446882495e-07 0 2.2099430261289e-06 -2.94779758732735e-06 0 0 0 -8.31239732908057e-07 -4.72710934502198e-07 0 1.86884009589415e-06 0 0 3.33678709009701e-07 0 0 0 7.8227119500451e-09 -4.67202336431623e-07 0 1.79752020059814e-06 -1.32648328955404e-06 0 0 2.38023482320917e-07 0 0 0 0 0.0129993360822651 -4.56006503693627e-07 0 2.93195352920186e-06 -3.04300103901664e-07 0 0 0 -5.26647309916977e-08 0.0831022285840107 0 0 0 0 -4.00273162409261e-06 -8.52579472343729e-07 0.040964176005734 2.24442502823469e-06 2.32626704910027e-06 -1.20571022126451e-06 0 0 0 0 0 0.107254339337876 0 0 0 2.6958375621203e-06 0 0.264259559306056 -1.10920778278569e-07 0 -2.99629555830771e-07 0.189038160549101 0 -3.85031501384475e-06 0 0 0 0 1.21103720399837e-06 7.9945490951762e-07 -4.07542546758595e-07 0 0 -9.16433926249087e-08 0 -2.52281822308783e-06 0 0 0 0 1.57016669833492e-06 0 0 0 0 0.076092129583163 0 0 0 0 0 0 0 0
"7" -7.59904734286808e-24 0 0 0 0 0 1 2.72597192090264e-10 1.58717083018851e-10 0.000385097915640614 0 0 0 0 -4.31386671991586e-09 0 0 0 0 0 0 0 0 0 2.19275533016703e-07 0 -3.22561482561369e-07 0 0 3.71437582685623e-07 0 0 0 0 0 0 1.20609576265505e-09 1.2736014203315e-09 0 0 9.88874841254049e-11 0 0 0 0 0 0 0 0 0 0 0 0 5.47039859530016e-11 0 0 0 0 0 0 0 -1.12698931388194e-10 -3.72791631656023e-10 -2.39968360540818e-09 0 1.54278844756706e-09 2.47369151225629e-10 -2.61258328847439e-11 0 0 0 0 0 0 -3.78535178272888e-09 0 0 0 -1.77852088246807e-09 0 0 0 0 0 0 0 1.15167744159632e-09 0 0 0 0 0 0 0 0 0 0 0.00719397457977979 0 -5.39806699126767e-09 -1.90254403455706e-08 0 0 0 0 0 -1.20153956906714e-08 0 0 -4.9018239304791e-09 0 -1.92498225446369e-09 0 0 0 0 1.36070016328517e-09 0 0 0 3.20706631519994e-11 0 0 7.3234978072498e-09 -5.40470280308004e-09 0 0 9.66460960558712e-10 0 0 -1.36680689155606e-09 0 0 0 0 0 -1.24041970846108e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.00711924397017e-09 0 6.71097268420601e-09 0 0 3.27064798697554e-09 0 0 1.0988739197948e-08 0 0 0 0 0 0 0 0 3.52228465040584e-10 0 0 0 0 0 0 0 0 0 0 -1.02841039248963e-08 0 0 0 0 6.40109293628069e-09 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 2.72597192090264e-10 1 3.08268948764379e-08 0.00583598766212187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6.20288142623258e-05 0 0 7.14276989469724e-05 0 0 0 0 -2.97102973006389e-08 0 2.31854799419503e-07 0 0 3.18651324727716e-08 0 0 0 -1.13078061846412e-07 -7.63792683621817e-24 0 0 0 0 0 0 0 0 0 -2.88576932485009e-08 0 0 -9.41893048674822e-08 0 0 0 0 -7.16624962966337e-08 0 0 2.96915336082905e-07 0 -5.17009835654009e-09 0 0 0 -1.55377527515312e-07 1.51840934435343e-05 0 0 0 2.14147088754172e-06 0 0 0 0 0 0 0 0 0 2.21537662106548e-07 -5.2743094569525e-07 0 0 0 0 0 0 0 0 0 0.0244961688821027 5.98141888595588e-07 -1.03828460947257e-06 -3.65894213283073e-06 0 0 -1.10198074510854e-07 0 0 -2.31085233806391e-06 0 0 0 0 -3.70527891469245e-07 0 0 0 0 2.61604397368663e-07 0 0 0 6.13550735142817e-09 0 0 0 0.050999717992612 0 0 7.17080169983255e-05 0 0 0 0 0 0 0 0 0 -2.49730817823722e-07 0 3.27022959060105e-07 0 0 0 0 0 0 0 0 0 1.75944485134269e-06 0 0 0 1.15525566923595e-06 0.112558862635046 0 0 0 0 0 0 2.11335910115146e-06 0 0 0.0365204956286996 0 0 0 0 0 6.78143632006142e-08 0 0 0 0 0 -3.19414281892651e-07 0 0 0 0 0 -4.67435567796431e-06 0 0 0 1.23093280759503e-06 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 1.58717083018851e-10 3.08268948764379e-08 1 0.130055177684852 0.000439794797994061 0 0 0 -4.866318516805e-07 0 0 0 0 0 0 0 0 0 2.47381269322505e-05 0 -3.63905698863397e-05 0 0 0 0 0 0 0 0 -6.1368033469533e-08 1.36028923567824e-07 0 0 0 0 0 2.75766007852396e-07 0 0 0 0 0 0 0 0 -5.59369830001486e-11 0 0 -1.69291200175483e-08 0 0 -5.52610992935421e-08 0 0 0 -1.27147018908558e-08 -4.20430636402287e-08 -2.70734340621888e-07 0 0 2.79092140579994e-08 -3.02208121673985e-09 -2.48962192628449e-07 0 0 -9.11485821868401e-08 0 0 0 0 0 0 -2.00687807405079e-07 0 0 0 0 0 0 0 1.29951590545549e-07 0 0 0 0 0 -7.19133167779727e-07 0 0 0 0 0.152110896238498 0 -6.09105840635637e-07 0 0 0 0 0 0 -1.35567696436058e-06 0 0 0 0 0 0 0 0 0 1.53484736987481e-07 0 0 0 0 0 0 0 0.0603095873635483 0 0 0.0410446670309263 0 0 -1.54185900382511e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.03216775231319e-06 0 0 0 6.77742700582345e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.37536427070237e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 7.22154271047498e-07 0 0 -0.0235929697799261 0 0 0 0 0 0 0 0 0 0
"10" -7.62891085396031e-24 0 0 0 0 2.90628903822009e-07 0.000385097915640614 0.00583598766212187 0.130055177684852 1 -4.26397995345952e-07 0 1.54331782863766e-08 0 -3.59420345469844e-06 -6.90884809232363e-08 0 0 0 0 1.74256012766219e-07 -7.23912862297948e-07 0 0 0.000182717364332878 0 -0.000268782979925697 0 0 0.000309510178675253 0 0 0 -2.12610640280353e-07 -1.28740871226177e-07 -4.53260596149159e-07 1.00462804560591e-06 0 0 0 8.24893005637089e-08 0 0 -4.89993392833505e-07 -8.00642418079738e-24 0 0 0 0 0 0 0 0 0 -1.25049785380581e-07 5.0463759556319e-07 0 0 0 0 0 0 -3.1052632348315e-07 -1.99969502583605e-06 0 1.28670595661439e-06 2.06147126359818e-07 -2.25142714154224e-08 0 2.99124856332373e-06 0 0 6.57956721588614e-05 0 0 0 0 0 -1.48240071748921e-06 0 0 0 0 0 0 0 0.0438285632469893 -2.28549938761045e-06 0 0 0.103614055454778 0 0.13132131764875 0 1.72056075809006e-06 0 -2.17352807067632e-06 0.068807249441535 2.59200224653621e-06 -4.49916483025009e-06 -1.58550859431167e-05 0 0 0 0 0.0221294685677229 -1.00135676290159e-05 0 0.239817862813781 0.0197213867058377 0.0341457782576162 -1.6057449797032e-06 0 6.3484353182715e-06 0 0 1.13355742422213e-06 0 0 0 2.65777421561701e-08 0 0 6.10606940352947e-06 0.199920976435303 0 0 0.109967559730942 0 0 0 0 0.00817122555836061 0 0 0 -1.03371050876734e-06 0 0 0 0 0.134022841488798 0 3.02695184524818e-06 0 0 0 -2.89626796158111e-06 0 7.62421957426842e-06 7.90234366375738e-06 0 0 5.00594434737315e-06 0 5.59219370209323e-06 0 8.30856338385573e-07 0 0 -2.47797671349358e-05 9.15774776138723e-06 0 0 0.0134081587125793 0 0 0 0 0 2.93894218754263e-07 0 0 0 0 0 0 0 0 -3.11172766916875e-07 0 -8.5700418108767e-06 0 0 0 0 5.33388321719137e-06 0 0 0 0 0.179283279617194 0.0269809967755592 0 0 0 0 0 0 -7.02458848608965e-24
